"","true","gods","naive","chao","l","N","S","comsize","saddef"
"416",18.0995924714242,21.1983757418364,17.6315874572854,20.730554878492,0,100,30,729416,11
"417",30,36.7245433984516,24,30.06375,1,100,30,729416,11
"418",13.1841822569121,12.6285606102643,11.4481969089868,12.0825743776563,-1,200,30,729416,11
"419",18.0995924714242,17.727498285861,16.6559118889795,17.9374196554996,0,200,30,729416,11
"420",30,38.8502313442684,28,28.6396428571429,1,200,30,729416,11
"421",13.1841822569121,13.0330015615197,12.4035281146637,12.8953421506613,-1,300,30,729416,11
"422",18.0995924714242,18.0986493530997,16.9849397251855,17.8680060195762,0,300,30,729416,11
"423",30,34.6228599526564,28,29.495,1,300,30,729416,11
"424",14.4890815011174,14.0203068945951,12.6903553299492,14.3895348837209,-1,100,30,729416,12
"425",19.2937681714111,17.9399294713913,15.7756253716129,19.5266351507264,0,100,30,729416,12
"426",30,24.4741261987686,22,49.72,1,100,30,729416,12
"427",14.4890815011174,14.1061574327898,12.970168612192,13.8002773925104,-1,200,30,729416,12
"428",19.2937681714111,18.2652014467798,16.4271074164139,17.808491549085,0,200,30,729416,12
"429",30,33.5265605857106,25,31.21875,1,200,30,729416,12
"430",14.4890815011174,14.1472895656233,13.4008338296605,13.9806733167082,-1,300,30,729416,12
"431",19.2937681714111,19.1396151123849,18.5044107821949,19.4241799287484,0,300,30,729416,12
"432",30,29.9856201985202,28,28.6644444444444,1,300,30,729416,12
"433",9.42357884704257,9.0399419629538,8.41750841750842,9.09926470588234,-1,100,30,1202604,1
"434",13.7487964501714,12.845151605365,11.6054677388927,14.3778427144865,0,100,30,1202604,1
"435",30,29.983625663977,21,45.75,1,100,30,1202604,1
"436",9.42357884704257,9.33070782292213,9.06618313689937,9.44919278252611,-1,200,30,1202604,1
"437",13.7487964501714,12.8304992770844,11.7963812017689,12.5119581154248,0,200,30,1202604,1
"438",30,22.5651721960311,19,23.4775,1,200,30,1202604,1
"439",9.42357884704257,9.72456143325295,9.84251968503937,10.1424694708277,-1,300,30,1202604,1
"440",13.7487964501714,14.8601111006562,14.3094827391838,14.9495070217612,0,300,30,1202604,1
"441",30,33.9410410921418,26,26.1245833333333,1,300,30,1202604,1
"442",18.998538728202,19.1152039276797,16.5016501650165,19.5652173913043,-1,100,30,1202604,2
"443",22.5583484943438,24.0608997236376,20.7442342456595,24.7852333709503,0,100,30,1202604,2
"444",30,36.7696959264037,28,32.5257142857143,1,100,30,1202604,2
"445",18.998538728202,19.5307630419298,18.6915887850467,20.5154639175258,-1,200,30,1202604,2
"446",22.5583484943438,22.8477638870035,21.4172135419019,22.8679447551928,0,200,30,1202604,2
"447",30,29.7690274074263,26,26.1658333333333,1,200,30,1202604,2
"448",18.998538728202,19.4268113551322,18.6721991701245,19.8451327433628,-1,300,30,1202604,2
"449",22.5583484943438,23.3986057655684,22.2345484468521,23.3769073525902,0,300,30,1202604,2
"450",30,31.6338861818173,29,29.6644444444444,1,300,30,1202604,2
"451",22.353463314768,22.1629949614646,17.5438596491228,21.063829787234,-1,100,30,1202604,3
"452",26.0392961082958,25.5268370156657,20.8088063798806,24.2200602414279,0,100,30,1202604,3
"453",30,28.8958183033191,26,28.475,1,100,30,1202604,3
"454",22.353463314768,22.1963907083331,20.1816347124117,22.334455667789,-1,200,30,1202604,3
"455",26.0392961082958,25.4964417362004,23.2441444570599,25.3129223308336,0,200,30,1202604,3
"456",30,28.9136511030079,29,32.98,1,200,30,1202604,3
"457",22.353463314768,23.6434967329578,22.9826353421859,24.8064159292035,-1,300,30,1202604,3
"458",26.0392961082958,27.6538038499804,26.0883649650099,27.4103118629159,0,300,30,1202604,3
"459",30,31.9544309417522,30,30,1,300,30,1202604,3
"460",9.08182668294897,8.87750107960271,7.42942050520059,7.94542536115568,-1,100,30,1202604,4
"461",14.0927435766811,12.8104944089122,10.4498679652832,11.9983386677226,0,100,30,1202604,4
"462",30,23.1976464824238,17,29.375,1,100,30,1202604,4
"463",9.08182668294897,9.39339315320303,9.33271115258983,9.74057758198727,-1,200,30,1202604,4
"464",14.0927435766811,14.4162049700661,13.0994311897633,13.9046386191711,0,200,30,1202604,4
