"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
16.8977328884583,21.2410099694498,11.242,0.714,30,0,125,"comm1",2
32,53.1626666666667,14.738,0.714,30,1,125,"comm1",2
16.4994720168955,18.8564476885644,14.171,0.714,54,-1,125,"comm2",2
26.1315117812743,33.3316663104974,19.96,0.714,54,0,125,"comm2",2
41,54.0312727272727,26.85,0.714,54,1,125,"comm2",2
32.4844074844075,43.5393258426966,29.241,0.713,87,-1,125,"comm3",2
40.8842094025258,62.3949381398783,35.679,0.713,87,0,125,"comm3",2
54,100.348444444444,44.23,0.713,87,1,125,"comm3",2
34.9552572706935,48.1366459627329,34.955,0.713,125,-1,125,"comm4",2
46.2376722939721,77.5311564958557,46.238,0.713,125,0,125,"comm4",2
61,125.2816,61,0.713,125,1,125,"comm4",2
16.7772151898734,18.9080459770115,13.61,0.766,46,-1,141,"comm1",2
22.5976222868997,28.0401844447968,16.898,0.766,46,0,141,"comm1",2
35,59.3262411347518,21.363,0.766,46,1,141,"comm1",2
23.9819059107358,28.6918604651163,20.955,0.768,75,-1,141,"comm2",2
31.8377143782523,43.0591995657152,26.401,0.768,75,0,141,"comm2",2
46,82.4893617021277,33.98,0.768,75,1,141,"comm2",2
25.0706179066835,30.276073619632,23.086,0.768,94,-1,141,"comm3",2
35.1300750898949,47.883545118941,30.955,0.768,94,0,141,"comm3",2
51,79.5957446808511,41.695,0.768,94,1,141,"comm3",2
36.2131147540984,48.3823529411765,36.213,0.768,141,-1,141,"comm4",2
52.2847861698699,77.5875375869306,52.285,0.768,141,0,141,"comm4",2
68,98.0354609929078,68,0.768,141,1,141,"comm4",2
13.5526601520087,14.730403800475,11.4,0.759,47,-1,158,"comm1",2
20.6983518055017,28.9460418829165,15.102,0.759,47,0,158,"comm1",2
39,148.552215189873,20.564,0.759,47,1,158,"comm1",2
20.0998389694042,22.8837638376383,16.615,0.761,58,-1,158,"comm2",2
27.9912189311588,33.486889114129,21.331,0.761,58,0,158,"comm2",2
42,50.8527042577675,27.29,0.761,58,1,158,"comm2",2
36.6041055718475,47.3396946564885,36.604,0.76,158,-1,158,"comm3",2
49.4573295634191,78.6608588506007,49.457,0.76,158,0,158,"comm3",2
68,147.714486638537,68,0.76,158,1,158,"comm3",2
42.893470790378,58.504716981132,41.726,0.76,143,-1,158,"comm4",2
55.1067401619892,81.493696277685,53.158,0.76,143,0,158,"comm4",2
71,111.574894514768,67.544,0.76,143,1,158,"comm4",2
17.4146748193441,19.2059186189889,14.677,0.774,59,-1,177,"comm1",2
25.2018109738612,31.5838534703586,19.11,0.774,59,0,177,"comm1",2
43,78.8960451977401,25.555,0.774,59,1,177,"comm1",2
25.7851851851852,30.0115606936416,22.571,0.774,88,-1,177,"comm2",2
35.6902702401184,46.3659750846896,29.283,0.774,88,0,177,"comm2",2
54,85.819209039548,38.685,0.774,88,1,177,"comm2",2
26.2167364016736,30.6011787819253,24.996,0.775,132,-1,177,"comm3",2
39.8513813156973,55.4642888797117,36.462,0.775,132,0,177,"comm3",2
63,108.118644067797,53.783,0.775,132,1,177,"comm3",2
36.7280187573271,46.0828402366864,36.728,0.775,177,-1,177,"comm4",2
53.5588782350613,79.1867517631553,53.559,0.775,177,0,177,"comm4",2
76,125.717514124294,76,0.775,177,1,177,"comm4",2
14.3326094824466,15.3673946957878,11.937,0.79,50,-1,199,"comm1",2
21.1165324462529,25.4239661300202,15.573,0.79,50,0,199,"comm1",2
39,74.9434673366834,20.959,0.79,50,1,199,"comm1",2
26.5244474212994,30.4497681607418,23.066,0.79,92,-1,199,"comm2",2
36.506701854244,47.322201430432,29.758,0.79,92,0,199,"comm2",2
56,100.418521177315,39.215,0.79,92,1,199,"comm2",2
31.2064617809299,36.8242990654205,29.569,0.79,146,-1,199,"comm3",2
45.4369355674636,61.2400957802577,41.504,0.79,146,0,199,"comm3",2
69,107.697415649677,59.106,0.79,146,1,199,"comm3",2
45.0523321956769,57.9441176470588,45.052,0.79,199,-1,199,"comm4",2
59.1434910576922,86.9983094909542,59.143,0.79,199,0,199,"comm4",2
81,143.683417085427,81,0.79,199,1,199,"comm4",2
15.8221444479796,16.9541095890411,14.221,0.825,83,-1,223,"comm1",2
23.3653024323738,27.9086676147679,19.069,0.825,83,0,223,"comm1",2
46,73.4389013452915,28.258,0.825,83,1,223,"comm1",2
23.3798777621063,26.0010504201681,21.638,0.825,124,-1,223,"comm2",2
36.5782359444273,43.9511573153434,31.866,0.825,124,0,223,"comm2",2
59,73.2216527866752,46.493,0.825,124,1,223,"comm2",2
32.9549370444003,38.4961119751167,31.798,0.826,178,-1,223,"comm3",2
47.3076540798465,62.8110657025056,44.598,0.826,178,0,223,"comm3",2
72,117.171524663677,64.795,0.826,178,1,223,"comm3",2
41.6142259414226,50.9320987654322,41.614,0.826,223,-1,223,"comm4",2
59.9835992031642,82.3871397170535,59.984,0.826,223,0,223,"comm4",2
85,127.060538116592,85,0.826,223,1,223,"comm4",2
14.7095493812748,15.562996031746,13.06,0.842,76,-1,251,"comm1",2
21.9315787470352,26.294107667642,17.543,0.842,76,0,251,"comm1",2
45,93.207171314741,25.446,0.842,76,1,251,"comm1",2
23.4465947152959,25.7594417077175,22.66,0.841,181,-1,251,"comm2",2
35.7709156129815,44.9085715142009,33.305,0.841,181,0,251,"comm2",2
65,104.22770456635,55.018,0.841,181,1,251,"comm2",2
38.3918342474101,45.1438848920863,38.392,0.841,251,-1,251,"comm3",2
56.0572430237192,75.5798625931255,56.057,0.841,251,0,251,"comm3",2
85,138.120849933599,85,0.841,251,1,251,"comm3",2
41.9726848767488,50.2,41.973,0.841,251,-1,251,"comm4",2
58.7296754319729,79.3453547185443,58.73,0.841,251,0,251,"comm4",2
86,139.120849933599,86,0.841,251,1,251,"comm4",2
16.4330905306972,17.3916887709991,15.27,0.865,118,-1,281,"comm1",2
24.4036065145399,28.8955846257002,21.055,0.865,118,0,281,"comm1",2
50,93.926453143535,33.266,0.865,118,1,281,"comm1",2
28.3522441651706,31.4217252396166,26.064,0.865,148,-1,281,"comm2",2
39.0570533412037,46.7332901471305,34.458,0.865,148,0,281,"comm2",2
62,94.9448398576512,48.336,0.865,148,1,281,"comm2",2
29.8755202421491,33.3107535986452,29.876,0.865,281,-1,281,"comm3",2
